# object, x, y, z, voltage
0.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.876745235174899971e-03
1.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,4.160239826887800023e-03
2.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,5.109631922096000145e-03
3.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,4.206109326332799735e-03
0.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,1.530805323272899955e-02
1.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,1.550784800201700057e-02
2.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,1.638336852192899887e-02
3.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,3.000000000000000000e+01,1.622201688587699905e-02
0.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,6.760389357805300647e-02
1.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,4.774765297770500183e-02
2.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,6.761264055967300401e-02
3.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-5.000000000000000000e+00,6.101278588175799988e-02
0.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,7.072059810161600291e-02
1.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,4.952294379472699931e-02
2.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,7.040297240018800196e-02
3.000000000000000000e+00,-7.000000000000000000e+00,-4.000000000000000000e+00,-4.000000000000000000e+00,6.587623804807700434e-02
0.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,5.901233479380599972e-02
1.000000000000000000e+00,-7.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,5.800252780318299745e-02
