# x,y,z,Ex,Ey,Ez
-2.502125000000000044e-01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.621936400000000011e-04,-2.069570499999999827e-02,-2.379238599999999870e-02
2.497874999999999956e-01,-1.075720600000000005e+01,-1.298381200000000035e+01,7.996940400000000478e-04,-2.067265999999999895e-02,-2.377699499999999869e-02
7.497875000000000512e-01,-1.075720600000000005e+01,-1.298381200000000035e+01,1.755245099999999930e-03,-2.059158300000000011e-02,-2.369445400000000021e-02
1.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,2.700782100000000130e-03,-2.045599700000000007e-02,-2.355064999999999936e-02
1.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,3.618487399999999795e-03,-2.027040299999999934e-02,-2.333932400000000157e-02
2.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,4.510956800000000266e-03,-2.003078200000000045e-02,-2.306827200000000078e-02
2.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,5.354968800000000154e-03,-1.974609700000000065e-02,-2.274111700000000166e-02
3.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,6.155786100000000365e-03,-1.941584400000000155e-02,-2.237234800000000023e-02
3.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,6.912135500000000411e-03,-1.903822100000000100e-02,-2.195086499999999996e-02
4.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,7.626716999999999871e-03,-1.862196799999999916e-02,-2.148077099999999920e-02
4.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,8.295500699999999727e-03,-1.817688500000000026e-02,-2.097567499999999918e-02
5.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,8.908317400000000802e-03,-1.771087600000000040e-02,-2.044263500000000067e-02
5.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,9.466054800000000061e-03,-1.722644099999999859e-02,-1.988818300000000025e-02
6.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,9.962361299999999975e-03,-1.672968099999999972e-02,-1.931993699999999883e-02
6.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.039758900000000048e-02,-1.621986400000000050e-02,-1.874029600000000004e-02
7.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.078260500000000066e-02,-1.569468499999999989e-02,-1.814332399999999887e-02
7.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.112089299999999975e-02,-1.516503599999999979e-02,-1.753797199999999890e-02
8.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.140993499999999952e-02,-1.463646700000000023e-02,-1.693902699999999886e-02
8.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.165288199999999982e-02,-1.411574500000000072e-02,-1.634247600000000161e-02
9.249787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.184612900000000038e-02,-1.361062399999999999e-02,-1.576013700000000045e-02
9.749787500000000051e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,1.198614899999999976e-02,-1.311867700000000046e-02,-1.519274200000000040e-02
1.024978800000000057e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,1.207123700000000029e-02,-1.262910499999999984e-02,-1.463212499999999930e-02
1.074978800000000057e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,1.211730100000000046e-02,-1.213909500000000079e-02,-1.407758599999999957e-02
1.124978800000000057e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,1.213374199999999944e-02,-1.165831900000000032e-02,-1.351839999999999986e-02
1.174978800000000057e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,1.210820999999999946e-02,-1.119012200000000026e-02,-1.297259499999999996e-02
-1.175021199999999943e+01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.265188199999999971e-02,-1.141888500000000015e-02,-1.374104200000000019e-02
-1.125021199999999943e+01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.266576999999999981e-02,-1.189879200000000005e-02,-1.432693699999999966e-02
-1.075021199999999943e+01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.264442099999999944e-02,-1.240025500000000065e-02,-1.491218400000000020e-02
-1.025021199999999943e+01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.258013200000000081e-02,-1.291294999999999943e-02,-1.553683500000000058e-02
-9.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.247218100000000059e-02,-1.343637100000000077e-02,-1.615791000000000102e-02
-9.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.231650400000000069e-02,-1.396514400000000052e-02,-1.679808600000000027e-02
-8.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.210796299999999937e-02,-1.450250299999999992e-02,-1.744196199999999836e-02
-8.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.184000099999999930e-02,-1.504759399999999921e-02,-1.809680799999999895e-02
-7.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.152223299999999978e-02,-1.559671200000000042e-02,-1.874863400000000013e-02
-7.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.114294600000000079e-02,-1.614151900000000001e-02,-1.940702600000000083e-02
-6.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.070777000000000014e-02,-1.668202699999999858e-02,-2.005495300000000036e-02
-6.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.021366599999999972e-02,-1.721198700000000151e-02,-2.069700299999999854e-02
-5.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-9.659338700000000624e-03,-1.772540099999999827e-02,-2.131750099999999912e-02
-5.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-9.041546799999999537e-03,-1.821900300000000097e-02,-2.191866199999999848e-02
-4.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-8.364882299999999368e-03,-1.868394899999999831e-02,-2.248606300000000058e-02
-4.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-7.624894400000000252e-03,-1.912284100000000153e-02,-2.301767299999999891e-02
-3.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-6.829947200000000343e-03,-1.952364499999999919e-02,-2.351374900000000046e-02
-3.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-5.986339900000000117e-03,-1.988383200000000059e-02,-2.396134499999999848e-02
-2.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-5.097426000000000387e-03,-2.019761499999999863e-02,-2.435543600000000114e-02
-2.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-4.165206099999999891e-03,-2.046018999999999963e-02,-2.468384399999999992e-02
-1.750212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-3.201308700000000170e-03,-2.066842500000000069e-02,-2.494480500000000045e-02
-1.250212499999999949e+00,-1.025720600000000005e+01,-1.298381200000000035e+01,-2.208436600000000024e-03,-2.082339100000000012e-02,-2.514592699999999847e-02
-7.502124999999999488e-01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.191845599999999958e-03,-2.091459400000000163e-02,-2.526083200000000042e-02
-2.502125000000000044e-01,-1.025720600000000005e+01,-1.298381200000000035e+01,-1.681495799999999921e-04,-2.094770400000000102e-02,-2.531510000000000010e-02
